# angle, barns/sr
1.45404e+02,1.06578e-02
1.45905e+02,1.00591e-02
1.46407e+02,9.46658e-03
1.46908e+02,8.88828e-03
1.47409e+02,8.33224e-03
1.47911e+02,7.80647e-03
1.48412e+02,7.31885e-03
1.48914e+02,6.87700e-03
1.49415e+02,6.48818e-03
1.49916e+02,6.15921e-03
1.50418e+02,5.89638e-03
1.50919e+02,5.70533e-03
1.51421e+02,5.59101e-03
1.51922e+02,5.55758e-03
1.52423e+02,5.60836e-03
1.52925e+02,5.74580e-03
1.53426e+02,5.97140e-03
1.53928e+02,6.28573e-03
1.54429e+02,6.68835e-03
1.54930e+02,7.17791e-03
1.55432e+02,7.75204e-03
1.55933e+02,8.40748e-03
1.56435e+02,9.14005e-03
1.56936e+02,9.94473e-03
1.57437e+02,1.08157e-02
1.57939e+02,1.17465e-02
1.58440e+02,1.27298e-02
1.58942e+02,1.37581e-02
1.59443e+02,1.48231e-02
1.59944e+02,1.59163e-02
1.60446e+02,1.70290e-02
1.60947e+02,1.81522e-02
1.61448e+02,1.92770e-02
1.61950e+02,2.03947e-02
1.62451e+02,2.14966e-02
1.62953e+02,2.25743e-02
1.63454e+02,2.36200e-02
1.63955e+02,2.46263e-02
1.64457e+02,2.55862e-02
1.64958e+02,2.64938e-02
1.65460e+02,2.73436e-02
1.65961e+02,2.81310e-02
1.66462e+02,2.88522e-02
1.66964e+02,2.95045e-02
1.67465e+02,3.00858e-02
1.67967e+02,3.05952e-02
1.68468e+02,3.10326e-02
1.68969e+02,3.13987e-02
1.69471e+02,3.16952e-02
1.69972e+02,3.19246e-02
1.70474e+02,3.20903e-02
1.70975e+02,3.21962e-02
1.71476e+02,3.22469e-02
1.71978e+02,3.22477e-02
1.72479e+02,3.22042e-02
1.72981e+02,3.21225e-02
1.73482e+02,3.20089e-02
1.73983e+02,3.18699e-02
1.74485e+02,3.17120e-02
1.74986e+02,3.15418e-02
1.75487e+02,3.13655e-02
1.75989e+02,3.11892e-02
1.76490e+02,3.10189e-02
1.76992e+02,3.08596e-02
1.77493e+02,3.07163e-02
1.77994e+02,3.05931e-02
1.78496e+02,3.04935e-02
1.78997e+02,3.04203e-02
1.79499e+02,3.03756e-02
1.80000e+02,3.03605e-02
